SR NO,LCN,CHANNEL NAME,Category
261,736,ABP ANANDA,BANGLA
262,737,24 GHANTA,BANGLA
263,741,ZEE PUNJABI,PUNJABI
264,742,PTC PUNJABI,PUNJABI
265,743,DD PUNJABI,PUNJABI
266,745,9X TASHAN,PUNJABI
267,751,PTC NEWS,PUNJABI
268,754,PTC CHAK DE,PUNJABI
269,761,COLORS ODIA,ORIYA
270,764,ALANKAR,ORIYA
271,765,DD ORIYA,ORIYA
272,766,SARTHAK TV,ORIYA
273,767,PRATHNA,ORIYA
274,768,O TV,ORIYA
275,769,TARANG,ORIYA
276,770,TARANG MUSIC,ORIYA
277,771,ETV UTTAR PRADESH,BHOJPURI
278,773,ANJAN TV,BHOJPURI
279,774,DANGAL,BHOJPURI
280,775,BHOJPURI CINEMA,BHOJPURI
281,776,SANGEET BHOJPURI,BHOJPURI
282,777,ETV BIHAR,BHOJPURI
283,778,NEWS 11,BHOJPURI
284,779,SAMAY BIHAR,BHOJPURI
285,780,BIG GANGA,BHOJPURI
286,781,DABAANG,BHOJPURI
287,782,DD BIHAR,BHOJPURI
288,783,DD UP,BHOJPURI
289,785,ETV URDU,URDU
290,786,ASHRAFI,URDU
291,787,DD URDU,URDU
292,788,ZEE SALAAM,URDU
293,789,DD KASHIR,URDU
294,790,AALAMI SAHARA,URDU
295,791,SAUDI QURAN,URDU
296,800,TLC,LEISURE & HOBBIES
297,801,NDTV GOOD TIMES,LEISURE & HOBBIES
298,805,FOX LIFE,LEISURE & HOBBIES
299,806,DISCOVERY TURBO,LEISURE & HOBBIES
300,810,FASHION TV,LEISURE & HOBBIES
301,819,NHK WORLD,LEISURE & HOBBIES
302,821,NEPAL 1,LEISURE & HOBBIES
303,851,STAR PLUS HD,HINDI GEC
304,852,COLORS HD,HINDI GEC
305,853,STAR BHARAT HD,HINDI GEC
306,854,ZEE TV HD,HINDI GEC
307,855,SET HD,HINDI GEC
308,856,& TV HD,HINDI GEC
309,857,SAB HD,HINDI GEC
310,859,EPIC TV HD,HINDI GEC
311,861,STAR WORLD HD,ENG. GEC
312,862,ZEE CAFE HD,ENG. GEC
313,863,COLORS INFINITY HD,ENG. GEC
314,865,COMEDY CENTRAL HD,ENG. GEC
315,866,DISNEY INT HD,ENG. GEC
316,871,STAR GOLD HD,HINDI MOVIES
317,872,ZEE CINEMA HD,HINDI MOVIES
318,873,MAX HD,HINDI MOVIES
319,877,& PICTURES HD,HINDI MOVIES
320,878,STAR GOLD SELECT HD,HINDI MOVIES
321,879,DL CINEMA HD,HINDI MOVIES
322,880,DL CLASSIC HD,HINDI MOVIES
323,881,STAR MOVIES HD,ENG. MOVIES
324,882,SET PIX HD,ENG. MOVIES
325,883,MOVIES NOW HD,ENG. MOVIES
326,884,ZEE STUDIO HD,ENG. MOVIES
327,885,ROMEDY NOW HD,ENG. MOVIES
328,889,MN + HD,ENG. MOVIES
329,890,DL HOLLYWOOD HD,ENG. MOVIES
330,891,SONY SIX HD,SPORTS
331,892,STAR SPORTS HD 1,SPORTS
332,893,STAR SPORTS 1 HINDI HD,SPORTS
333,894,STAR SPORTS HD 2,SPORTS
334,895,SS SELECT HD1,SPORTS
335,896,SS SELECT HD2,SPORTS
336,898,TEN 1 HD,SPORTS
337,903,CNBC PRIME HD,BUSINESS NEWS
338,905,RT HD,GLOBAL NEWS
339,913,MTV BEATS HD,HINDI MISIC
340,915,DL MUSIC HD,HINDI MISIC
341,916,VH1 HD,ENG. MUSIC
342,917,NAT GEO MUSIC HD,ENG. MUSIC
343,921,NICK HD,CARTOON
344,922,BABY TV HD,CARTOON
345,930,DL BHAKTI HD,DEVOTIONAL
346,931,DISCOVERY HD WORLD,SCIENCE
347,932,HISTORY TV18 HD,SCIENCE
348,933,NGC HD,SCIENCE
349,934,NAT GEO WILD HD,SCIENCE
350,935,ANIMALPLANET HDWORLD,SCIENCE
351,936,FYI HD,SCIENCE
352,937,NAT GEO PEOPLE HD,SCIENCE
353,941,DL GUJARATI HD,GUJARATI
354,942,DL MARATHI HD,MARATHI
355,943,COLORS MARATHI HD,MARATHI
356,944,ANGEL TV HD,TAMIL
357,945,MANORAMA HD,MALAYALAM
358,946,TLC HD WORLD,LEISURE & HOBBIES
359,947,FOX LIFE HD,LEISURE & HOBBIES
360,949,FASHION TV HD,LEISURE & HOBBIES
361,950,NHK WORLD HD,LEISURE & HOBBIES
362,951,AIR VBS,RADIO
363,952,AIR HINDI,RADIO
364,953,AIR GUJARATI,RADIO
365,954,FM RAINBOW,RADIO
366,955,FM RAINBOW CHENNAI,RADIO
367,956,AIR MARATHI,RADIO
368,957,AIR MALAYALAM,RADIO
369,958,AIR KANNADA,RADIO
370,959,AIR TELUGU,RADIO
371,960,AIR TAMIL,RADIO
372,999,DL INFO,RADIO
